essay_id,full_text,score
0098ef4,"Many people in todays society tend to travel by car, but there is advantages to limiting car usage. Limiting car usage can stop pollution, and puts people in general in a more active environment. So, there are many other ways of transportation.

In the article, 'Car-Free Cities' it talks a lot about the advantanges of not driving a car. For example, according to the passage ""Heidrun Walter, a media trainer and mother of two, as she walked verdant streets where the swish of bicycles and the chatter of wandering children drown out the occaional distant motor."" This being said, you can conclude that more people are being more active. Furthermore, the passage says ""Passenger cars are respondible for 12 percent of greenhouse gas emissions in Europe... and up to 50 percent in some car intensive areas in the United States."" This meaning that some places in the United states gases are half of the areas pollution.

There are many more advantages to limiting car usages, and if other people do it so will the world. For example, according to the passage ""Vauban, home to 5,500 residents within a rectangle square mile, may be the most advanced experiment in low-car suburban life."" Moreover, in the passage it also says ""But its basic precepts are being adopted around the world in attempts to make suburbs more compact and more accessible to public transportation, with less space for parking."" Furthermore, ""In this new approach, store are placed a walk away, on a main street, rather than in malls along some distance highway."" This meaning the world has a solution to solve the usage of cars. By making suburbs you will be walking distance away from your destination. This also saves so much money, if you were to drive you would have to waste gas. It is also more of a benefit for one who walks, rides their bike, or runs by giving them the benefit of exercise.

By limiting the usage of cars, bike trails, parks, and sports centers have been a big hit. For example, according to the passage, ""The day without cars is part of an improvement campaign that began in Bogota in the mid-1990s."" Moreover, ""It has seen the construction of 118 miles of bicylce paths."" This being said, the need to make such a long bike path means that more people are joining in on the limiting usage of cars, which is a benefit for us humans, and the fresh air that we breathe. People are also becoming more active, for example according to the passage ""Parks and sports centers also have bloomed throughout the city; uneven, pitted sidewalks have been replaces by broad, smooth sidewalks; rush-hour restrictions have dramatically cut traffic;"" Since the parks and sports centers have been blooming people are being more active. New side walks are being replaced so people can actually walk on them, the cut of traffic means less people are driving. In big cities, it just might be faster to get to your destination by riding a bike.

In conclusion, there are so many advantages to limiting car usage. It helps by lowering the percent of pollution, on top of that it also helps save money. By walking or riding your bike to your destination can benefit you in many ways. It also helps by making the world a better place. People seem to be happier when they see other being active, so the next time one thinks to drive a walking distance, rethink your decision.    ",4
00a3575,"The challege of exploring Venus is not a great idea. Studying Venus is a worthy because it's closes to our planet to earth in terms of density and size. While Venus is simple see from the distant but safe vantage poin of earth, it has proved a very challenging place to examine more closely.

Venus is not a great planet to explore. The atmospheric pressure is 90 times greater than what we experience on our own planet. The solar power would be plentiful and radiation would not exceed Earth levels.""Venus has the hottest surface temperature of any planet in our solar system, even though Mercury is closer to our sun"". This shows that Venus is not a safe planet to explore.

The scientists are been send to study Venus. The conditions on surface Venus allow scientists to float above the roiling Venusian landscape. The temperature would still be toasty at around 170 degrees Fahrenheit,but the air pressure would be close to that of the sea level on Earth.""However, peering at Venus from a ship orbiting or hovering safely far above the planet can provide only limited insight on ground conditions because most forms of light cannot penetrate the dense atmosphere,rendering atandard forms of photography and videography ineffective.                  ",2
00a4469,"Using technology to read emotional expressions of students in a classroom is valuable because it could help students learn in ways that suit them, prevent students from getting angry or stressed, and make them feel valued.

The article says that the computer would be able to tailor lessons to suit each students needs based on what emotions they're showing. This could greatly improve a student's education. A lot of students don't seek help if they get behind or don't understand something, the Facial Action Coding System could help them out by recognizing their confusion and changing the lesson to best suit them.

Speaking of emotions, the Facial Action Coding System would be able to prevent students from getting too angry or too stressed. If a student is showing strong negative emotions, the FACS could notify someone or tell the student to take a break.

Many students hide their negative emotions in a classroom, for fear of looking bad amongst their peers. The FACS could help students, by acknowleding their emotions and change the lesson or the atmosphere. Overall this could boost both grades and school attendence, by making students feel valued, like someone cares about their feelings.

Using the Facial Action Coding System in schools could be a valuable asset to education. It could help students improve, keep them from getting too upset, and make them feel valued.   ",4
00a541a,"As the author tells in the article, Venus is very dangerous due to thick atmosphere of about ninety-seven percent carbon dioxide that covers venus. Not only is the atmosphere high, but the temperature and atmosphere pressure as well. The temperatures average is over eight-hundred degrees fahrenheit and the atmospheric pressure is ninety times more than what humans experience on earth.

Althrough, the conditions are extreme. The author gives reasons to visit and research more about Venus. As stated, "" Astronomers are fascinated by Venus because it may well once have been the most Earth-like planet in our solar system."" The author states that they are very amazed how Venus could have been the most similar to Earth. The author continues by describing Venus with similar Earth features, ""The planet has a surface of rocky sediment and includes familiar fetures such as valley, mountains, ans craters."" Next, the author states that Nasa is already working on making a spacecraft to last long on Venus. As said, "" For example, some simplifield electronics made of silicon carbide have been tested in a chamber simulating the chaos of Venus's surface and have lasted for three weeks in such conditions."" Nasa is already planning to visit Venus for research.

Overall, the author supported his idea that studying Venus is a worthy pursuit despite the dangers by giving reasons and telling how Venus could be very similar to a Earth-like planet. ",2
00a6693,"Do you ever have a yearning to have an experience where you help people, and see new places? I had one of those eye-opening trips myself when I took part in being a Seagoing Cowboy. All citizens should participate in this program. In this essay, I will explain why this program should include you in the next trip overseas.

When having deep affection for men and women who have served in wars such as World War Two, you long to give help back to them in repayment. That is why it feels so amazing to sail overseas with vital needs for discouraged people, such as animals or food. I have served for nine trips(the longest contributed by any Seagoing Cowboy), because it gives yourself satisfaction to keep youself busy with activities that lift people's spirits. If you join this program, you can feel like a warrior in different ways.

On these trips overseas, you can also live through rewarding and beautiful sites. With our free time in other countries, we had the opprotunities to see the Acropolis in Greece, and parts of China. We also got to experience what a gondola ride in Italy felt like through streets of water. Visualizing these historic places really make you want to see more of the world, and keep helping our world's health.

People opposed to the UNRRA may have many doubts why you would risk the danger and time. It is true that you sail where destructive and gruesome battles have taken place, but you can visualize the importance of why you need to help those citizens who have lost so much. Even though some may also state that it is too much scrificed time away from home, the time goes by fast while playing fun and relaxing games such as:fencing, boxing, reading, whittling, and tennis tournaments. There are many reasons why you can make up for risks and sacrifices on this trip to pass time or feel more connected to your service.

Becuase of the ways this trip is so benificial to participants, it is a great program to take part in. Seeing beautiful sites and repaying soldiers help you analyze so much more about other places and war. For many people, it concludes as an opprotunity of a lifetime, that will never be forgotten. For these reasons, all citizens should participate in the UNRRA program overseas.",4
00a6e71,"Limiting car use is a great way clean up greenhouse gases. In some car intensive areas in the united states passenger cars are responsible for 50% of greenhouse gases. Not ownly limiting car use help redouse greenhouse gases it benfits people personly by saving them money on gas and other expensis brought on by owning a car. It aslo would make it safer since car accidents are one of the leading causes of death. I dont think people shouldn't own a car i just dont think we should use them for everything. In some cases cars are anasetiy so there's aways gonna be car use we should just limit it.

Greenhouse gases are bad so by limiting car use we could redouse greenhouses in some areas up to 50%. Limiting car use will aslo save people money not ownly in gas but expensives as well. There are sevrale expensise that come with owning a car just in get a car would require paying to get your permit/lisnes. Then buying  the car itself witch no car is cheap. Then once you get the car the expesise just keep coming. Such as payments on the car asoming you didn't pay it all off when you got it there's also gas, changing tires, check ups, inter stuff, repairs, etc... Nothings cheap about a car.

Limiting car use would also make the streets a safer place. Car accidents are one of the leading causes of death. Anything from fender benders to full on collishens are dangours. There's also sevral cases where people are hit just walking down the street. Cars are dangours plus limiting car use or restricting it in some cases may aslo bring down the drunk driving incadents.

Im not saying we should get rid of cars. I just    ",2
00aa6de,"This system could be very benificial in classrooms for many reasons. One reason being this system can literally tell what all of your emotions are an what percent each of them are. How a student feel about school or a class can effect how they do in school or the class big time. If a student hates the class and dreads going there every single day then that will effect how they do in the class and usaully for the worse, this does not mean they will fail the class but alot of the time there grade will not be as good as it should be. If a student loves the class and loves going to school then obviously they will be more ingaged and do better in the class most of the time.

Schools could use this system to see what they could change in the school to make kids enjoy class and school more. Them doing this would hopefully improve grades and attitudes toward school which could always lead to more students wanting to go to college. There are alot of long term very benifical plans that could come with this.",2
00b2fe2,"I think the idea of ""driverless""'cars might not actually be such a bad idea. I mean what could be any better? A car you get into and it will take you wherever you desire? Driverless cars could have less accidents, save gas, and maybe even get people where they need to be quicker.

Theoretically thinking, a driverless vehicle could potentially cause a lot less trouble than a vehicle with a human driver. Sometimes, humans don't tend to make the best choices ever. Every year many people die because of drunk drivers alone. Many people also die just because some idiot decided they didn't need to pay attention, that text was just too important or than phone call may have been too important. More important than someones life of course. With driverless cars they would not have to worry about any of that, as long as they knew where they were going the car would get them there and back safely.

What's even better than a car you don't have to worry about driving? A car you don't have to worry about driving, while saving gas. According to the text, Mr Sergey Brin forsees cars that would use half the fuel that taxis use in todays world. Even if it wasnt much, if you add up everyone that rides taxis it accumulates and eventually everyones contributing to the problem. So a car that could use only half of the gas we use today, like is there any reason to say no to these cars?

Many people almost never get anywhere on time, some may have too much going on some might just not care. Whatever the case may be, what if these driverless cars could get you wherever you needed to be in the quickest way possible while not breaking the law. The driverless car could get you where you need to get by taking the quickest route possible. With all the advanced technology being promised the car could know whats ahead of it and if it will slow your trip down. For example if the car knows that up ahead is construction zone where you would have to slow down and waste time, it could just take a more efficient way and eventually save you time.

Driverless cars, hopefully soon, will no longer be a thing of the past. With technology just advancing without stopping i think soon driverless cars would just be another normal vehicle you see on the road. To me driverless cars would be an astounding idea. ",4
00b3311,"Did you know that Venus was maybe once like earth? And also maybe know that ""Mechanical Computers"" were used back in World War II that NASA may get ther idea for a invention to study Venus ? Sounds shocking right, well let me tell how and why these two questions may sound odd, but intresting.

NASA has been working on finding ways to study Venus. They have simplified electronicsthat are made of ""silicon carbide"" that have been tested in a chamber that is like Venus's surface, and has lasted for about 3 weeks in the comditons as Venus's surface. They still are working on other inventions that will allow the machines to last long enough to contribute meaningfully knowledge of Venus. NASA has also wanted a ship to orbit and hover safely far above the planet so that it can provide only limited insight on ground conditions because most forms of photography and videography of Venus. Astronomers have wanted to return to Venus but they wasnt a mission safe and scientifically productive. Astronomers are fascinated by Venus because they believe in the solar sytem long ago Venus was like was just like Earth at one point. They also believe that Venus once had the features like eath like an ocean, mountains, valleys, and craters. In Venusian geology and weather present erupting volcanoes and frquent lighting , and maybe even strikes on the land surfaces. Venus atomosphere is about 97 percent of carbon dioxide and has a highly corrosive sulfuric acid in Venus's atmosphere. Its temaptures are an average over 800 degrees , its atmospheric pressure is 90 times greather that we experience on our own planet. Each pervious mission was unmanned and maybe thats a good reason no spacecraft survived the landing, or ecplains why not a single spaceship hs touched down on Venus in more than three decases. And is why Astonomers have also wanted a safe mission to go to Venus. And it is also why its a challenging planet for humans to study,which is like is said before why NASA has been wantiing to find good ways to study Venus. Another project taking us back to old technology us ""Mechanical Computers"". These computures were used in World War II,and these devices were used to make calculations andby using gears and levers and it did not require elctronic at al. Modern computers are enormosly powerful, flexible and quick but tend to be more delicate when it came to physical conditons. systens that use nechanical parts can be made mire resistabt to pressure, heat a and other forces.

So Venus is a worthy, despite of the dangers and earth abd beyind should not be limited by daners abd doubts because uou shoild be expanded to meet the very edges of imaginatio and innovation. Meeting the challenge to study Venus has value but not because its interesting but because human curiosity will likely lead us into many equally intimitdating endevaours.                        ",4
00bee4c,"Through out the world a lot of people are excited about the driverless cars that are being developed. However some of them fail to realize the negativities that come with this package. Not having to drive 24/7 would be nice, but at what price? Vehicles are not exactly the most reliable resource.

While your car is in driverless mode what are you doing? You could be texting, eating, writing something down, or for heavens sake you could be sleeping! Drivers will become extremely wreckless, more so than they are now. They will go about thinking that the technology has everything under control. Forgetting that cars that require drivers have difficulties. Yet they will trust a car to drive itself and have no problem? The car you are driving could have miscalculations and make a turn where there is a building!

When in a vehicle the driver makes commands whether to turn or to signal a turn signal. Now give the vehicle control and you are giving it control of your life and whatever passengers you have with you. The car is not perfected. It will most likely make countless mistakes. Technology failure being a main one. While you are texting or turned around the engine could die out or the brakes could go haywire. Your instincts will tell you to take the wheel and try to get it under control, what if the commands are inconclussive and won't respond. Who is to blame, the vehicle for shorting out or the driver for becoming too un-alert.

Everyone has their own opinions, everyone has their own brain that allowes them to make the wrong or the right decission based on what they believe. Will you allow yourself to fall victim to awe or amazement and wonder at these new inventions. Or will you go over teh pro's and cons of becoming too reliant on the driverless vehicle and less aware of your actions while on the road? ",3
00c3589,"Exploration is key to a humans curiosity.Many people will indeed be anxious to explore something that is said to be impossible or dangerous because of curiosity.""The Challenge of Exploring Venus"" is a prime example. In this article the author states different reasons why it is worth stuying Venus depite the extreme dangers it brings.

One reason why the author of this article supports his ideas well is because he used statistics or in other words he used pathos.In paragraph five, he said""...a vehicle hovering over Venus would avoid the unfriendly ground conditions by staying up and out of their way.""He mentioned the idea of NASA creating a ""blimp-like"" vehicle to fly over the Venusian landscape.Then he went on and entered his counterclaim by saying""...far above the planet can provide only limited insight on ground condition...,""therefore Venus would only be visible but not accesible and NASA would not be able to take samples of the planet.

Secondly,he states some facts about Venus itself.He added that ""...Venus is the closests planet to Earth in terms of density and size.""This is a good fact to add in to give the idea as to why NASA would choose to attempt studying Venus.Also he siad that""...humans have sent numerous spacecrafts to land on this cloud-draped world.""This gives the idea that the study of Venus has already been attempted before and has unfortunately failed every single time.

Last but not least,in his conclusion he built a strong conclusion by mentionding in his opinion that""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imaginataion and innovation."" This can be used for both life and NASA continuing on trying and trying until they succesfully study Venus.

In conclusion, the author supported his ideas well in the article. He supported his idead with statistics from NASA theirselves and he gave facts about Venus. He also included his counterclaims. Over all he gave a well informend and structures article.   ",4
00cb5dc,"In the passage ""The Challenge if Exploring Venus"" the author suggests that the studying of Venus is a worthy pursuit dispite the dangers it presents by explaining the fact that scientist can not of study if that Venus is like Earth because it is studied from a far distance and that they need to get closer and get rock samples. For example the passage states ,"" More importantly, researchers cannot take samples of rock, gas, or anything else, from a distance. Therefore, scientits seeking to conduct a thorough mission to nderstand Venus would need to get close up and pesonal dispite the risks."" This piece of evidence proves that they would have to go through with a mission to Venus to get rock, gas, and other samples for scientists to study to compare Venus to earth. Therfore, in the passage "" The Challenge of

Eploring Venus"" the authors suggestion to study Venus should entirely be accepted with the evidence they provided but also dispite the risks so that we have stand point on how close Venus is to the Earth comparing rocks,gases, and other pieces of evidence.",2
00ccc2d,"Space travel is something we people of Earth have just only begun to tinker with. Even after our many launches of aircrafts into the atmosphere, we know very little of what it truly out in the endless void of space. In the article, ""The Challenge of Exploring Venus,"" the author suggests that studying Venus specifically is a worthy pursuit despite the dangers it presents. The author would be correct in this statement as we humans know very little about the planet because of numerous factors making it a difficult planet to study, but solving those problems would lead into advancement. Including that becuase the planet is closely related to earth, that could mean it supported life long ago. Lastly that striving to meet the challenge presented, despite the roadblocks, would lead us into many equally intimidating endeavors.

The planet in space we call Venus has a reputation for how troubling it is to study because of numerous factors. As included in the article, Venus has ""A thick atmosphere of almost 97 percent carbon dioxide blankets...clouds of highly corrosive sulfuric acid...planet's surface tempurature average of over 800 degrees Fahrenheit...Atmospheric pressure is 90 times greater..."" Venus is an extremely difficult planet to study which is why it would be such an amazing goal to study it fully. If NASA and the people of Earth fight to overpower these issues, we would advance as a species, developing more solutions to fight these problems. By facing the problems presented by Venus, we would finally be able to study it and even find out is there is, or was life on Venus.

In the article, ""The Challenge of Exploring Venus,"" the author stated that ""Astromoners are facinated by Venus because it may well once have been the most Earth-like planet in our solar system."" Shortly after this, they also stated that ""Long ago, Venusm was probably covered largely with oceans and could have supported various forms of life, just like Earth."" The search for life in space has been one outrageously demanded by the public and Venus may very well be the place to look, after we can penetrate the bounderies it has in store. It was even stated in the article that Venus even has features extremely similar to some found on Earth, furthering the support that Venus could have or does support life. Regardless if Venus supports life or not, if we as a species can get past the barriers of Venus, would lead us into many equaly intimidating endeavors that we can surpass.

The author sugests that studying Venus is a worthy pursuit despite the dangers it presents and supports that when they say, ""Striving to meet the challenge presented by Venus has value, not only because of the insight to be gained on the planet itself, but also because human curiosity will likely lead us into many equaly intimidating endeavors."" They also say in the next sentence ""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation."" By surpassing the challenge of Venus, we will have the technology an wisdom to surpass other difficult challenges we may encounter, overall gaining the knowledge and power to gain more knowledge and power.

The exploration of Venus is indeed a difficult and dangerous task, but in the end would be worth while. By advancing our technologies we can bypass the dangers of Venus and pave the road to move onto even more dangerous and difficult tasks, both on out planet and outside our planet. We could gain the knowledge of how similar Earth and Venus are, finalizing if it could have or did support life at one point in time. And the factors making Venus so dangerous, would be minimalized and surpassed. ",4
00d027f,"Imagine a system that can actually help you stay focused and determined with your learning. No more kids dozing off because of boredom, or becoming uninterested with a subject. This advancment in computer software that can recognize human emotions and change the way we learn for the better .

Now take the software mentioned into a class room where it can make ""calculations"" about human emotion just as any other human does. The author, Nick D'Alto, says this ""if you smile when a Web ad appears on your screen, a similar ad might follow."" he also quotes a Dr. Huang saying ""A classroom computer could recognize when a student is becoming bored or confused or bored."" Take these two quotes and you imagine a super computer that can learn what you take interest in and modify it's self to your liking. This would allow students to take charge in how they learn a concept.

This could be the next big things in learning since computers were first introduced in a classroom. That's not even the limit. This technology could be implimented in home schooled children and online classes as well. The reason being as Dr. Huang puts it ""it could modify the lesson...like and effective human instructor."" This means it would have the power to change lessons if you were not following or just confused. This ability can amplify the process of students learning online or at home.

In coclussion the technology being able to recognize human emotions will only improve the educational system. Being able to tell if a student is bored or confused on a concept will help improve many aspects in schooling. Being able to modify lessons on the spot just like a human insturctor is valuable. ",3
00d4911,"To the senator of florida,

I believe that the electoral college should be abolished. The system is unjust and prevents we, the people to have our individual voices heard. When americans vote they're supposebly voting for the next president, when indeed they're votes only sway the opinion of the elector.

Think back to a little over a decade ago, to the 2000 presidential elections. Al gore received the popular vote, meaning that he was the one that us, the americans had wanted. Due to the fact that George W. Bush, his rival, received more electoral votes, Bush won, leaving an unfavored president running the country. According to source 2, a gallup poll was taken shortly after Gore had lost the presidency, an entire 60 percent of voters would prefer to have a direct vote, rather than go through the electoral process.

Granted, that the electoral college does give a certainty of outcome and that no region on its own can vote for a president, it does give an equal chance for everybody to have their mostly preffered president (according to source 3), there is however some flaws to these so called ""pros"". Faithless electors exist. These electors totally ignore what the people have to say and cast their own vote. This occured in the 1960's with hawaii and louisiana, and when vice president nixon validated only his opponents electors, he made sure to do so without ""establishing a president"", though it can happen again.

We should all agree with Nixon, carter, and dole on the fact that this system isn't fair. Our voices as individuals aren't heard, and we just vote for the state of electors. We, the people of the united states of America wish to do away with the electoral college.    ",4
00d576b,"Well in my favor I would have the Electoral College reason why is because it keeps all the votes for the presidential election and etc. And each or any electors in your state has his or her own group of electors. And the electors are generally chosen by the candidate's political party , but state laws vary on how the electors are selected and what is their responsibilities are. But the Electoral College it consists or has 538 electors but the majority is to have 270 s that you can vote for the president. By the way once you have voted for the president or senate or governer etc. The system will count how many popular votes or from a vote from Congress and the qualified citizens. But my reason for the electoral college to stay is that once you have voted you can count from the system or it does it for you but if you dont want the electoral college then it will take alot longer for the votes to be process and be accumilated.

Well so there's people or citizen that want the electoral college to keep going but some don't reason to that is in the story this is what it says, ""The electoral college  is unfair, outdated, and irrational. The best arguments in favor of it are mostky assertins withoout much basis in reality"". And its unfair cause it has the winner take all system in each state. And they sometimes have problems getting the votes from some states and they couldn't see the candidates at all including Rhode Island and South Carolina and voters in 25 of the largest media markets didn't get to see a single campaign ad. And the story says from someones opinion ""And the arguments in favor of it are mostly assertions without much basis in reality."" And once a state has voten it  counts as 1 vote.

And some people and the people from the government or like congress,senators,representatives, and more hope that one day while they are voting that the score or number of votes is not a tie. But some citizens arn't into the technology of the electoral vote or how it works. But in that case I would like to not want the electoral collge to keep going mostly due to unfairness, outdated,irrational.

Since the electoral college is still working the method of selecting the president may turn off potential voters for a candidate who has no hope of carrying their state-- Democrats in Texas, for example, or Republicans in California. Knowing their vote will have no effect, they have less incentive to pay attention to the campaign than they would have if the president were picked by popular vote. But of course no voter's vote swings a national elction, and in spite of that, about one-half the eligible  American popluation did vote in 2012's election.                            ",1
00da297,"I think that the author is right about the idea of studying venus is worthly pursuit despite of the dangers NASA is working on studying venus. Why not study it it use to be like earth. and also it a star you see at night.

Venus is one of the most intresting planets near earth I think it would be intresting to study and so does NASA the text says, ""NASA is working on othe approaches to study Venus for example, some simplified electronics mode of silicon carbide have bee tested in a chamber simualting the chaos of venus's surface and have lasted 3 weeks in such conditions"". See we could try and study Venus we could be on there for a 2 weeks and leave.

Venus is called the sister planet because of how close it is and like family Venus has the same looks aswhille the text says, ""Venus still has some features that are analogous to those on earth. The planet has a surface of rocky sediment and includes familar features such as valleys, mountains, and craters"". See if Venus is like earth we could look at what happened to it and make sure that doesn't happened to us.

Venus is a star we see at night have you ever wonder what it was? Or how it's like earth and has no life that is what NASA and so

many more space programs are trying to find out.

I think that the author is right that we should go study Venus even if it dangerus it's worthy of that risk. it a star and planet in our solar system. Venus is our sister planet and looks like us too, and NASA is finding ways for us to be able to walk on Venus and study it aswhile. ",3
00daaa2,"Pollution is one of the most dangerous causes in the world. However, people need the things that pollutes the air. Such as cars, body sprays,etc. I agree that the citizens should limit car usage.

Fuel is one of the causes that pollutes the air. According to the passage,""Diesel fuel was blamed, since france has... a tax policy that favors diesel over gasoline."" In addition to that, diesel make up 67 percent of vehicles in france. Compared to a 53.3 percent average engines in the rest of western europe. Robert Duffer states that, ""After days of near-record pollution, paris enforced a partical driving ban to clear the air of global city."" Motorists with even-numbered license plates were ordered to leave their cars home or suffer a 22-euro fine ($31). Moreover, the same goes for odd-numbered plates. With that, the smog cleared enough for the ruling french party.

All the countries should try a car-free day. Andrew Selsky said, ""In a program that set to spread to other countries, millions of Colombians hiked, biked, skated or took buses to work during the car-free day."" Some of the advantages of having a car-free day can help make people see that its not about cars or bikes. Even so, Those things are just damaging the air and making it harder to live and breathe. Also stated in the article was that, "" It is a good opportunity to take away stress and lower air pollution."" The day without cars is part of an improvement campaign that began in Bogota in the mid-1990s. Uneven, pitted sidewalks have been replaced by board, smooth sidewalks; rush-hour restrictions have dramatically cut traffic. Futhermore, it would help so people can see the world without cars and not pollute the air.

By giving some of the dangerous stuff that we use daily a break. We will see great turn outs and good things happen. Like, less traffic which means less accidents, less fuel used which means less pollution. Lets all help keep our country safe and clean. STOP POLLUTION! I firmly agree that citizens should limit car usage.    ",3
00dd003,"Using the Facial Action Coding System is not necessary whatsoever. This will just be taking up space in already crowded schools, and having schools waste money on a emotion coding system.

These Facial Action Coding Systems will be even more of a distraction. Phones are already enough of a distraction this will be even worse. Kids will just make face expressions to find out what emotion a certain face tells. ""Empathy (feeling somone else's emotional state..."" Most kids like to just have their space and not be bothered. This is also spending money on things that are not mandantory so money will just be wasted. At the end of the day like who is really interested in what a face expression tells about you?

This computer can be a problem too some kids. Other kids knowing about their emotions they can be bullied and mistreated for how they feel. Every ""positive"" always has a negative. This can bring hatred upon someone a kid who is always sad and has hatred can be bullied and make the kid even more depressed. ""Imagine being able to detect exactly how other people are feeling, even when they are trying to hide their emotions."" This Facial Coding system can ruin some kids this is not for everyone, your emotions are not for everyone.

Why is determining what your facial expression says about you instead of learning? Why are we not focused on teaching out kids great education and personal finance? We are so caught up in technology our kids are getting distracted and in trouble over it. The Facial Action Coding System doesn't belong in schools and shouldn't be allowed too. ",2
00e047b,"A car is considered by many a nessecity for everyday life; however, limited usage of our cars has many positive advantages. Emissions from cars create greenhouse gasses, which are detrimental to our enviroment, and limiting the use of our cars can greatly cut down these emissions. Also, many people say that using alternant modes of transportation cut down on the stress they expireinced whilst using a car. In fact, many people are no longer conserned with cars, and young people are begining to stop getting liscenses.

The smog, which is caused by car emissions, in Paris, France was so intense that the city had to place a partial ban on drivers. Those with even number plates faced a fine if they drove on Monday; and, on Tuesday those ith odd number plates would face the same fine if they drove. The ban was so successful in cutting down the smog that the ban was lifted in time for those with odd number plates to drive unrestricted on Tuesday.( source 2) Paris isn't the only city to place bans on driving, in Bogota, Columbia one day a year the city celebrates the 'Day Without Cars'. The idea of this day is to help reduce smog and has even caught on in Cali and Valledupar, also in Columbia.( source 3)

Vauban, Germany makes owning a car unappealing to residents by only allowing two places to park and creating a city plan that facilitates alternative modes of transportation. Many of the residents as a result dont own cars and are happier this way! ""When I had a car I was always tense. Im much happier this way,"" said resident Heidrun Walter. Cities like Vauban are result of a growing trend in Europe called smart planning, which seprates auto use from suburban life.(source 1) People all around the world also feel positive after limited car use. During the Day Without Cars in Columbia Carlos Arturo Plaza states that the day is "" A good opportunity to take away stress and lower air pollution."" (source 3)

In 2013 the average miles driven per American was down 9% from the peak of car usage. This may because the Internet allow people to feel connected or possibly because many center cities renewal have made the suburbs less appealing. Whatever the reason, one things for sure, there has been a substancial drop in the amount of 16- to 39-year- olds getting a liscence. (source 4) America isnt the only place to expierence a drop in car usage. Vauban, Germany makes owning a car impractical and 57% of families sold their cars to live there, while 70% dont own cars. (source 1)

Limiting car usage has positive effects on the enviroment and has shown effective at lowering stress in people. Globally many are already starting to realize adavantages of cutting back on car usage. So while a car may seem like a nessecity, keep the advantages in mind.            ",4
00e3edb,"The author suggets that studying venus is a worthy pursuit despite the dangers if presnts because if something happens to earth if we study venus we will know some stuff to do. Like all the needs to stay alive keep breathing and is it even possible. Because if a war happens with the usa and the blow up america we will need somwhere to go. So in order for us to know all of these things we will have to study abot other planets to survive at.

Venus also looks the sefest out of all the other planets. Its shaped like earth close to earth so its in the same atmosphere so it gets the same oxygen. the shape and size is pretty similar so there should be enough romm for people. its close to the sun so we dont know if its safe . it could be safe if the un rotates away from it so people can actually live their.

Since venus is so close to the sun we will have to send someone their to se if it liveable. if we ever decided to move to venus we will have to bring so much stuff and it would take a while. so i dont think everybody will make it before us is destroyed.",1
00e5687,"In this ariticle the authour provides details on why Venus is worthy to be research eventhough it provide a great risk. The authour talks in details about how Venus is very alike to earth in

the sense of density and size. How it was it could have been the most similar planet to Earth in our solar system. And that many research are triying to make machines that would stand the exttreme temperatuers of Venus.

Researcher discoberd

how Venus is very similiar to Earth. The author states "" Often referred to as Earth's ""twin"", Venus is the closest planet to earth in terms of density and size, and occassionally distance too.""(paragraph 2).The statement that the autghar made makes a good point because if Venus is the closest planet to been earth like than researching it would help us discover new thing. We can get resorces that we use in earth in this planet. Also the author states"" Long ago, Venus was probably covered with oceans and could have supported forms of life, just like Earth.

The author talks in detail how reserchers are already trying to make machines that could sustain the pressure and the heat that Venus produces. The author states "" Many reserchers are working on innovations that would allow our machines to last long enough to contrinutes meaningfully to our knowlege of Venus."" The author claim also that "" Nasa is working on other approches to studying Venus.

At the end of the day the author have very good details in his claim. How persuing to research Venus can be beneficial. That Venus is very similar to Earth and been similar to Earth can help us understand Venus better. That reserching Venus we could fine rescorses that we may need in the Future because on Earth we are running out of resorces.

Venus could have been at one point very alike to Earth so we can fine resorces we need in Venus.                         ",3
